Lab;Predio;Sala;Detalhe sala (mesa, armário, etc);Nome Equipamento ;Apelido;Tipo;Fabricante;Moeda;Custo de aquisição;Agência financiadora;ID_grupo (partes do mesmo conjunto têm o mesmo número de ID_grupo);Responsável;Potência elétrica;Unidade potencia elétrica;Tensão elétrica minima (V);Tensão elétrica máxima (V);Detalhe da alimentação elétrica (bivolt, trifásico, etc);Outras alimentações (ar, água, etc);Modelo;Spec1;Unidade Spec1;Spec2;Unidade Spec2;Nacionalidade;Ano de aquisição ;Apelido projeto compra;Sistema de patrimônio principal;Numero de patrimônio principal;Finalidade principal;Intervalo de calibração;Condição Equipamento;Data Atualização;Pasta de documentos;OBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;auxiliar
LPM;2;7;;politriz bancada   P8 - 1 prato  ;;politriz;Fortel  ;BRL;2978,00;;;alzira;;;220;;;;PFL;;;;;brasileira;2010;;;4897;;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P9 - 1 prato  ;;politriz;solotest ;BRL;879,80;;;alzira;;;110;;;;MAXIPLAN;;;;;brasileira;1992;;;32964;;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P10 - 1 prato  ;;politriz;solotest  ;BRL;909,93;;;alzira;;;110;;;;MAXIPLAN;;;;;brasileira;1997;;;35365;;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P11 - 1 prato  ;;politriz;solotest ;;;;;alzira;;;220;;;;MAXIPLAN;;;;;brasileira;;;;40444;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;POLITRIZ 1 RAT;;politriz; STRUERS;;;;;alzira;;;220;;;; DP-U3;;;;;Dinamarca;;;; ;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz automatizada 1;;politriz;Buelher ;BRL;6737,11;;;alzira;;;110;;;;minimet 1000;;;;;;2002;;;21523;;;em funcionamento;05/102022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz automatizada 2;;politriz;Buelher ;;;;;alzira;;;110;;;; minimet 1000;;;;;;;;;;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;secador 1;;secador;Darfon;;;;;alzira;;;110;;;;;;;;;brasileira;;;;30767 / 003107;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;secador 2;;secador;brakley;;;;;alzira;;;110;;;;;;;;;brasileira;;;;;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;ultrasom;;ultrassom;Unique  ;BRL;859,99;;;alzira;;;110;;;; USC 800A;;;;;brasileira;2008;;;3105;;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
